nid,subject,university,rank,overall_score,Academic Reputation_score,Employer Reputation_score,Citations per Paper_score,H-index Citations_score,International Research Network_score,Academic Reputation_rank,Employer Reputation_rank,Citations per Paper_rank,H-index Citations_rank,International Research Network_rank
3846238,education-training,National Chengchi University,311,-,48.7,70,76.3,74.8,74.8,101+,98,101+,101+,101+
3846238,education-training,National Tsing Hua University,312,-,56.8,70.6,69.5,67.5,67.5,101+,89,101+,101+,101+
3846238,education-training,National Yang Ming Chiao Tung University,313,-,48.6,66.9,80.6,76.4,76.4,101+,101+,101+,101+,101+
3846239,chemical-engineering,National Taipei University of Technology,75,74.5,84,65.5,84.7,70.7,70.7,25,101+,101+,101+,101+
3846239,chemical-engineering,National Taiwan University (NTU),82,74,71.2,73.1,87.6,81.8,81.8,75,92,101+,90,90
3846239,chemical-engineering,National Tsing Hua University,119,-,64.8,69.5,84.1,74.3,74.3,101+,101+,101+,101+,101+
3846239,chemical-engineering,National Cheng Kung University (NCKU),168,-,63.5,67.7,85.9,71.5,71.5,101+,101+,101+,101+,101+
3846239,chemical-engineering,National Taiwan University of Science and Technology (Taiwan Tech),213,-,59.6,60.1,81.9,69.3,69.3,101+,101+,101+,101+,101+
3846239,chemical-engineering,National Yang Ming Chiao Tung University,215,-,53.4,67.1,83.3,68.3,68.3,101+,101+,101+,101+,101+
3846239,chemical-engineering,National Central University,325,-,54.3,58.4,71.6,59,59,101+,101+,101+,101+,101+
3846239,chemical-engineering,National Chung Hsing University,326,-,55.8,56.7,77,64.1,64.1,101+,101+,101+,101+,101+
3846239,chemical-engineering,National Sun Yat-sen University,372,-,50.6,58.7,72.8,61,61,101+,101+,101+,101+,101+
3846240,civil-structural-engineering,National Taiwan University (NTU),69,-,75.7,74.3,88.6,79.1,79.1,51+,51+,51+,51+,51+
3846240,civil-structural-engineering,National Cheng Kung University (NCKU),118,-,62.6,70.5,88.5,70.9,70.9,51+,51+,51+,51+,51+
3846240,civil-structural-engineering,National Taipei University of Technology,173,-,59.8,66.2,77.7,66,66,51+,51+,51+,51+,51+
3846240,civil-structural-engineering,National Taiwan University of Science and Technology (Taiwan Tech),174,-,57.8,67.4,83.7,71.5,71.5,51+,51+,51+,51+,51+
3846241,electrical-electronic-engineering,National Taiwan University (NTU),64,74.8,74.9,75.1,83.1,77.4,77.4,43,74,151+,151+,151+
3846241,electrical-electronic-engineering,National Tsing Hua University,107,70.5,68.8,73.4,78.9,71.4,71.4,78,92,151+,151+,151+
3846241,electrical-electronic-engineering,National Taipei University of Technology,122,69.2,69.5,71.4,78.7,67.1,67.1,68,111,151+,151+,151+
3846241,electrical-electronic-engineering,National Cheng Kung University (NCKU),140,68,61.7,68.9,84.7,77,77,143,145,151+,151+,151+
3846241,electrical-electronic-engineering,National Yang Ming Chiao Tung University,161,-,62.3,71.1,77,73.4,73.4,135,115,151+,151+,151+
3846241,electrical-electronic-engineering,National Taiwan University of Science and Technology (Taiwan Tech),226,-,61,62.2,83,71.7,71.7,151+,151+,151+,151+,151+
3846241,electrical-electronic-engineering,National Chinyi University of Technology,272,-,67.3,56.4,58.4,50.8,50.8,92,151+,151+,151+,151+
3846241,electrical-electronic-engineering,National Central University,318,-,51,59.4,78.6,61.5,61.5,151+,151+,151+,151+,151+
3846241,electrical-electronic-engineering,National Sun Yat-sen University,320,-,52.3,58.5,81.1,64.5,64.5,151+,151+,151+,151+,151+
3846241,electrical-electronic-engineering,National Chung Hsing University,365,-,51.4,55.5,72.3,57.2,57.2,151+,151+,151+,151+,151+
3846241,electrical-electronic-engineering,National Chung Cheng University,418,-,46.3,56.1,72.7,58.6,58.6,151+,151+,151+,151+,151+
3846241,electrical-electronic-engineering,National Taiwan Normal University,512,-,50.8,50.2,68.3,51.4,51.4,151+,151+,151+,151+,151+
3846242,mechanical-aeronautical-manufacturing-engineering,National Taiwan University (NTU),91,73.4,73,74.8,84.8,72.4,72.4,75,90,148,151+,151+
3846242,mechanical-aeronautical-manufacturing-engineering,National Taipei University of Technology,123,71.1,74.3,73.8,79.6,60.8,60.8,66,104,151+,151+,151+
3846242,mechanical-aeronautical-manufacturing-engineering,National Tsing Hua University,133,70.3,70,71.9,82.8,65.4,65.4,97,126,151+,151+,151+
3846242,mechanical-aeronautical-manufacturing-engineering,National Cheng Kung University (NCKU),172,-,63.1,69.5,80.8,70.7,70.7,151+,151+,151+,151+,151+
3846242,mechanical-aeronautical-manufacturing-engineering,National Taiwan University of Science and Technology (Taiwan Tech),220,-,63.4,64.3,81,64.9,64.9,151+,151+,151+,151+,151+
3846242,mechanical-aeronautical-manufacturing-engineering,National Yang Ming Chiao Tung University,268,-,52.3,67.9,80,64.4,64.4,151+,151+,151+,151+,151+
3846242,mechanical-aeronautical-manufacturing-engineering,National Chinyi University of Technology,316,-,66.6,62.5,53.3,48.9,48.9,125,151+,151+,151+,151+
3846242,mechanical-aeronautical-manufacturing-engineering,National Chung Hsing University,317,-,59.8,60.5,71.1,57.4,57.4,151+,151+,151+,151+,151+
3846242,mechanical-aeronautical-manufacturing-engineering,National Central University,421,-,51.1,61.3,69.5,53.5,53.5,151+,151+,151+,151+,151+
3846242,mechanical-aeronautical-manufacturing-engineering,National Sun Yat-sen University,422,-,52.7,59.9,68.3,50.8,50.8,151+,151+,151+,151+,151+
3846248,engineering-petroleum,National Sun Yat-sen University,73,-,53.1,56.4,83.8,75,75,51+,51+,51+,51+,51+
3846244,english-language-literature,National Taiwan University (NTU),77,72.5,74.2,79.9,51.4,-,-,72,37,101+,-,-
3846244,english-language-literature,National Taiwan Normal University,163,-,68.3,63.2,39.2,-,-,101+,101+,101+,-,-
3846244,english-language-literature,National Cheng Kung University (NCKU),220,-,63.7,71.8,42.7,-,-,101+,87,101+,-,-
3846244,english-language-literature,National Sun Yat-sen University,269,-,59.4,63,39.2,-,-,101+,101+,101+,-,-
3846244,english-language-literature,National Chengchi University,308,-,54.2,70,55.1,-,-,101+,101+,101+,-,-
3846244,english-language-literature,National Tsing Hua University,309,-,59.2,71.4,10.9,-,-,101+,88,101+,-,-
3846246,environmental-sciences,National Taiwan University (NTU),86,79.3,74.6,77.1,89.7,84.5,84.5,96,61,101+,101+,101+
3846246,environmental-sciences,National Cheng Kung University (NCKU),216,-,61.6,73,90.8,79.3,79.3,101+,97,101+,101+,101+
3846246,environmental-sciences,National Taipei University of Technology,316,-,66.3,65,82.4,70.3,70.3,101+,101+,101+,101+,101+
3846246,environmental-sciences,National Taiwan University of Science and Technology (Taiwan Tech),421,-,56.6,65.9,84.5,66.8,66.8,101+,101+,101+,101+,101+
3846246,environmental-sciences,National Tsing Hua University,422,-,58.8,71.5,78.3,62.7,62.7,101+,101+,101+,101+,101+
3846249,geography,National Taiwan University (NTU),65,-,80.5,83.5,80,64.7,64.7,34,24,51+,51+,51+
3846249,geography,National Cheng Kung University (NCKU),169,-,64.3,78.7,80.5,64.7,64.7,51+,46,51+,51+,51+
3846249,geography,National Taiwan Normal University,170,-,67.5,66.3,71.2,58.2,58.2,51+,51+,51+,51+,51+
3846247,geology,National Taiwan University (NTU),119,-,74.4,76.7,84.4,78,78,51+,51+,51+,51+,51+
3846245,geophysics,National Taiwan University (NTU),120,-,74.4,76.3,82.7,75.5,75.5,51+,51+,51+,51+,51+
3846252,history,National Taiwan University (NTU),68,-,82.1,78.9,56.2,50.3,50.3,28,51+,51+,51+,51+
3846258,hospitality-leisure-management,National Kaohsiung University of Hospitality and Tourism (NKUHT),38,55.5,59,50.8,71.1,-,-,51+,40,51+,-,-
3846259,law-legal-studies,National Taiwan University (NTU),70,72.4,78.8,71.2,67.3,55,55,44,95,101+,101+,101+
3846259,law-legal-studies,National Chengchi University,221,-,65.7,62,67.1,41.1,41.1,101+,101+,101+,101+,101+
3846259,law-legal-studies,National Chung Cheng University,262,-,61,57.9,64.9,50.4,50.4,101+,101+,101+,101+,101+
3846259,law-legal-studies,National Yang Ming Chiao Tung University,263,-,63.1,62.3,75.2,44.7,44.7,101+,101+,101+,101+,101+
3846259,law-legal-studies,National Tsing Hua University,315,-,54.9,64.8,67.8,50.4,50.4,101+,101+,101+,101+,101+
3846262,library-information-management,National Taiwan University (NTU),58,-,61.9,75.5,74.5,72.8,72.8,51+,28,51+,51+,51+
3846264,linguistics,National Taiwan University (NTU),58,72.6,70.6,84.6,83.4,70.3,70.3,72,17,30,87,87
3846264,linguistics,National Tsing Hua University,78,69.8,70.4,76.6,65.6,50,50,75,59,101+,101+,101+
3846264,linguistics,National Taiwan Normal University,99,67.5,67.7,70,68.8,58.4,58.4,99,99,101+,101+,101+
3846264,linguistics,National Cheng Kung University (NCKU),173,-,61.2,75.4,72.5,50,50,101+,68,101+,101+,101+
3846264,linguistics,National Chengchi University,174,-,60.2,73.9,63.7,50,50,101+,76,101+,101+,101+
3846264,linguistics,National Chung Cheng University,213,-,61.4,62.3,45.5,31.5,31.5,101+,101+,101+,101+,101+
3846268,materials-sciences,National Taiwan University (NTU),93,73.6,68.8,73.9,83.5,85.1,85.1,75,90,101+,86,86
3846268,materials-sciences,National Taipei University of Technology,97,73.3,79.4,74.1,79.9,74.7,74.7,33,87,101+,101+,101+
3846268,materials-sciences,National Tsing Hua University,124,-,67,73.1,83.5,81.3,81.3,87,100,101+,101+,101+
